Method,Avg RMSE,Avg MAE,Avg R²,Avg MAPE (%)
Linear Spline,6.88576848665383,4.811262645358607,-0.4135449016358951,112.31975415462968
Cubic Spline,8.045092507213848,5.507131639273392,-2.453595833089015,143.4618512073849
Polynomial,9.4203531674098,7.239496130249077,-0.16761064876509651,64.16791993270695
Newton,11.08413542733367,7.5639572154664885,-15.851882327422524,168.552702986999
Lagrange,11.08413542733367,7.5639572154664885,-15.851882327422524,168.552702986999
