Parameter,Method,RMSE
AT (°C),Lagrange,0.8542951025598801
AT (°C),Newton,0.8542951025598814
AT (°C),Linear Spline,0.9559362825236896
AT (°C),Cubic Spline,0.9131440965845553
AT (°C),Polynomial,2.0858939129342504
CO (mg/m³),Lagrange,0.7553914227219057
CO (mg/m³),Newton,0.7553914227219061
CO (mg/m³),Linear Spline,0.4469436437512621
CO (mg/m³),Cubic Spline,0.43444252043639364
CO (mg/m³),Polynomial,0.3487569288135804
NH3 (µg/m³),Lagrange,2.361347506086935
NH3 (µg/m³),Newton,2.361347506086938
NH3 (µg/m³),Linear Spline,1.670527396246226
NH3 (µg/m³),Cubic Spline,1.8750742479240188
NH3 (µg/m³),Polynomial,3.8027068883744812
NO (µg/m³),Lagrange,8.173019779215243
NO (µg/m³),Newton,8.173019779215243
NO (µg/m³),Linear Spline,7.447883882654314
NO (µg/m³),Cubic Spline,7.290090875884207
NO (µg/m³),Polynomial,8.112578023343666
NO2 (µg/m³),Lagrange,6.787146448720975
NO2 (µg/m³),Newton,6.787146448720972
NO2 (µg/m³),Linear Spline,5.330908311828179
NO2 (µg/m³),Cubic Spline,4.657937570217823
NO2 (µg/m³),Polynomial,8.987599591011389
NOx (ppb),Lagrange,8.3180448677808
NOx (ppb),Newton,8.318044867780799
NOx (ppb),Linear Spline,8.185761245281403
NOx (ppb),Cubic Spline,7.414884717567393
NOx (ppb),Polynomial,10.326534289556639
Ozone (µg/m³),Lagrange,6.617254114803189
Ozone (µg/m³),Newton,6.617254114803186
Ozone (µg/m³),Linear Spline,3.678585995103505
Ozone (µg/m³),Cubic Spline,4.162337093005668
Ozone (µg/m³),Polynomial,8.08925811947293
PM10 (µg/m³),Lagrange,24.572447636438117
PM10 (µg/m³),Newton,24.572447636438124
PM10 (µg/m³),Linear Spline,21.44002085476769
PM10 (µg/m³),Cubic Spline,23.181887024388242
PM10 (µg/m³),Polynomial,21.277275969043867
PM2.5 (µg/m³),Lagrange,10.453341461131615
PM2.5 (µg/m³),Newton,10.453341461131618
PM2.5 (µg/m³),Linear Spline,9.894128749742194
PM2.5 (µg/m³),Cubic Spline,9.941736901333856
PM2.5 (µg/m³),Polynomial,10.782148169840848
RF (mm),Lagrange,0.16501925809203435
RF (mm),Newton,0.16501925809203433
RF (mm),Linear Spline,0.059642934983840205
RF (mm),Cubic Spline,0.07872899815851361
RF (mm),Polynomial,0.07810200581361536
RH (%),Lagrange,4.544758198306705
RH (%),Newton,4.544758198306707
RH (%),Linear Spline,3.959051550086864
RH (%),Cubic Spline,3.4807034050852965
RH (%),Polynomial,8.238141400394365
SO2 (µg/m³),Lagrange,8.144163037039714
SO2 (µg/m³),Newton,8.144163037039714
SO2 (µg/m³),Linear Spline,4.030165802850726
SO2 (µg/m³),Cubic Spline,4.951879751353131
SO2 (µg/m³),Polynomial,2.9787171704814623
SR (W/mt2),Lagrange,22.667538854369063
SR (W/mt2),Newton,22.667538854369067
SR (W/mt2),Linear Spline,18.949431263516278
SR (W/mt2),Cubic Spline,20.95458847092594
SR (W/mt2),Polynomial,21.288806929123172
TOT-RF (mm),Lagrange,0.16501925809203435
TOT-RF (mm),Newton,0.16501925809203433
TOT-RF (mm),Linear Spline,0.059642934983840205
TOT-RF (mm),Cubic Spline,0.07872899815851361
TOT-RF (mm),Polynomial,0.07810200581361536
WD (deg),Lagrange,46.30927754722086
WD (deg),Newton,46.30927754722089
WD (deg),Linear Spline,19.278331504905367
WD (deg),Cubic Spline,24.02858954815848
WD (deg),Polynomial,39.43426821499774
WS (m/s),Lagrange,0.35049388090766925
WS (m/s),Newton,0.35049388090766925
WS (m/s),Linear Spline,0.1899563874124109
WS (m/s),Cubic Spline,0.23140092514325336
WS (m/s),Polynomial,0.2936840549045441
