Index,Original Value,Lagrange Predicted,Lagrange Error,Newton Predicted,Newton Error,Linear Predicted,Linear Error,Cubic Predicted,Cubic Error,Polynomial Predicted,Polynomial Error
0,116.46,103.3280555555556,13.408055555555592,103.32805555555557,13.408055555555563,93.35499999999999,3.434999999999988,99.45973364438339,9.53973364438339,73.70086069312978,16.21913930687022
15,138.55,72.73547619047622,33.04547619047622,72.73547619047619,33.045476190476194,59.955,20.265,68.21214599521713,28.52214599521713,65.3808876793782,25.690887679378207
36,165.66,49.54642857142858,0.02357142857142236,49.54642857142858,0.02357142857142236,50.765,1.1950000000000003,50.37658187100645,0.8065818710064505,46.980877471235154,2.5891225287648467
39,161.08,47.25734126984129,10.47734126984129,47.25734126984126,10.477341269841261,50.785,14.004999999999995,48.273290631950786,11.493290631950785,41.57500329927599,4.79500329927599
40,170.19,31.79448412698412,3.5255158730158804,31.79448412698412,3.5255158730158804,32.485,2.835000000000001,31.93084477895361,3.3891552210463907,35.772650676391315,0.45265067639131473
54,146.32,44.02019841269842,0.9201984126984186,44.020198412698406,0.9201984126984044,39.155,3.9450000000000003,43.03269137919971,0.06730862080028999,28.888718575843363,14.211281424156638
71,181.29,13.324841269841269,0.9151587301587316,13.32484126984127,0.9151587301587298,15.61,1.3699999999999992,13.95354229687664,0.28645770312336083,16.46886962107687,2.2288696210768695
77,175.97,15.337803030303036,4.557803030303036,15.337803030303029,4.557803030303029,14.225,3.4450000000000003,15.151582330958275,4.371582330958276,14.867329701396898,4.087329701396898
91,180.01,8.238690476190472,4.651309523809529,8.238690476190474,4.651309523809527,12.8,0.08999999999999986,10.588490750062913,2.3015092499370873,14.61988467645596,1.72988467645596
101,202.09,7.252579365079368,5.4174206349206315,7.2525793650793675,5.417420634920632,9.280000000000001,3.389999999999999,7.826468629856334,4.8435313701436655,12.843852760878427,0.17385276087842705
107,172.69,21.58130952380953,2.198690476190471,21.581309523809523,2.198690476190478,18.189999999999998,5.590000000000003,20.752116910366176,3.027883089633825,15.108707721270285,8.671292278729716
147,301.36,147.3826587301587,14.33734126984129,147.38265873015865,14.337341269841346,162.02499999999998,0.3049999999999784,154.5910525377576,7.128947462242394,147.41970209448246,14.300297905517539
175,224.7,100.87130952380956,55.75869047619044,100.87130952380951,55.75869047619048,116.02,40.61,105.72101407095882,50.90898592904118,139.05935885949464,17.57064114050536
179,74.24,152.67908730158732,8.579087301587322,152.67908730158732,8.579087301587322,150.28,6.180000000000007,154.733339264912,10.633339264911996,130.32921368716433,13.770786312835668
196,94.2,147.13337301587305,17.126626984126943,147.13337301587302,17.126626984126972,136.275,27.984999999999985,144.52659360783602,19.73340639216397,116.0128723677384,48.247127632261595
209,44.91,77.73345238095239,40.126547619047614,77.73345238095239,40.126547619047614,83.285,34.575,78.15786967614635,39.70213032385365,111.01757258389682,6.8424274161031775
272,148.72,110.00579365079365,1.8242063492063494,110.00579365079365,1.8242063492063494,102.17500000000001,9.654999999999987,105.63691481142273,6.193085188577271,105.95336601923957,5.876633980760431
273,180.57,185.85920995670995,46.529209956709934,185.85920995670995,46.529209956709934,133.1,6.230000000000018,149.66953725116167,10.339537251161659,89.87452695873807,49.45547304126194
287,115.87,63.45299417249413,27.487005827505868,63.4529941724942,27.487005827505797,81.73,9.209999999999994,70.92002702234372,20.01997297765628,87.69269252815312,3.247307471846881
