Method,MSE,RMSE,MAE,MAPE (%),Number of Points
Lagrange,1.8240930406003336e+162,1.3505898861609817e+81,5.673802581147621e+79,N/A,666
Newton,3.1478373259442344e+240,1.7742145659260705e+120,7.078460376231435e+118,N/A,666
Linear,203.9547972972973,14.28127435830911,4.594148648648648,N/A,666
Cubic,318.14178264601594,17.83652944510271,6.050605906289162,N/A,666
